[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckRoute Behavior [ RunTime:0.000893s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.001011s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000666s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Run CheckLang Behavior [ RunTime:0.003684s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004541s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Run LocationTemplate Behavior [ RunTime:0.001945s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002039s ]
[ 2012-12-05T18:40:20+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run ParseTemplate Behavior [ RunTime:0.012317s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012417s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run ContentReplace Behavior [ RunTime:0.000398s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run TokenBuild Behavior [ RunTime:0.000426s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000563s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowRuntime Behavior [ RunTime:0.000459s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002023s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Run ShowPageTrace Behavior [ RunTime:0.000763s ]
[ 2012-12-05T18:40:21+08:00 ] /index.php/admin/Team/addteam | INFO: Tag[ view_end ] --END-- [ RunTime:0.000828s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run CheckRoute Behavior [ RunTime:0.001863s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ route_check ] --END-- [ RunTime:0.002050s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001484s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run CheckLang Behavior [ RunTime:0.003063s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004921s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002807s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | SQL: SELECT `id` FROM `dds_team` WHERE ( `name` = '111' ) LIMIT 1   [ RunTime:0.001942s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | SQL: SELECT `id` FROM `dds_team` WHERE ( `email` = '222' ) LIMIT 1   [ RunTime:0.000402s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | SQL: SELECT `id` FROM `dds_team` WHERE ( `weibo` = '333' ) LIMIT 1   [ RunTime:0.000293s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | SQL: INSERT INTO `dds_team` (`name`,`email`,`weibo`,`infor`) VALUES ('111','222','333','44') [ RunTime:0.000429s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_template ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run LocationTemplate Behavior [ RunTime:0.002841s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_template ] --END-- [ RunTime:0.002937s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_parse ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run ParseTemplate Behavior [ RunTime:0.015426s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015565s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_filter ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run ContentReplace Behavior [ RunTime:0.001337s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run TokenBuild Behavior [ RunTime:0.001582s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001142s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run ShowRuntime Behavior [ RunTime:0.001412s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005839s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_end ] --START--
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Run ShowPageTrace Behavior [ RunTime:0.001533s ]
[ 2012-12-05T18:40:29+08:00 ] /index.php/admin/Team/saveteam | INFO: Tag[ view_end ] --END-- [ RunTime:0.001648s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ route_check ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run CheckRoute Behavior [ RunTime:0.000997s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ route_check ] --END-- [ RunTime:0.001128s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ app_begin ] --START--
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000786s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Run CheckLang Behavior [ RunTime:0.002623s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003846s ]
[ 2012-12-05T18:40:30+08:00 ] /index.php/admin/Team | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.002535s ]
