[ 2012-12-06T10:02:47+08:00 ] / | ERR: (ThinkException) 无法加载模块Index
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000885s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000663s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run CheckLang Behavior [ RunTime:0.001642s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002700s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | NOTIC: [8] Undefined index:  ok LoginAction.class.php 第 7 行.
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_template ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002076s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002176s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_parse ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.044914s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045020s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_filter ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001070s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001219s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001078s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001238s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004825s ]
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_end ] --START--
[ 2012-12-06T10:02:55+08:00 ] /index.php/admin/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001122s ]
