[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run CheckRoute Behavior [ RunTime:0.000928s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001058s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000674s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run CheckLang Behavior [ RunTime:0.001639s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002475s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.000385s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000458s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.008298s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008398s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run ContentReplace Behavior [ RunTime:0.000376s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run TokenBuild Behavior [ RunTime:0.000739s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000358s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000549s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002274s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000681s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.000764s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckRoute Behavior [ RunTime:0.001087s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001451s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000713s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckLang Behavior [ RunTime:0.002067s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002975s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Run LocationTemplate Behavior [ RunTime:0.000797s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --END-- [ RunTime:0.000914s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --START--
