[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002324s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run CheckLang Behavior [ RunTime:0.006299s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009081s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.042062s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | SQL: SELECT * FROM `dds_project`  [ RunTime:0.001110s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.020170s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000602s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_template ] --START--
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002475s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002666s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.044487s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044758s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run ContentReplace Behavior [ RunTime:0.003524s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run TokenBuild Behavior [ RunTime:0.002815s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001570s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002616s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011358s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_end ] --START--
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003922s ]
[ 2012-12-08T00:35:55+08:00 ] /ddsfilm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004238s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002208s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | INFO: Run CheckLang Behavior [ RunTime:0.003120s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005844s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.016393s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | SQL: SELECT * FROM `dds_project`  [ RunTime:0.001591s ]
[ 2012-12-08T00:37:33+08:00 ] /ddsfilm/ | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.014059s ]
