[ 2012-12-14T16:44:34+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:34+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001363s ]
[ 2012-12-14T16:44:34+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002541s ]
[ 2012-12-14T16:44:34+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007677s ]
[ 2012-12-14T16:44:34+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.026978s ]
[ 2012-12-14T16:44:34+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.005344s ]
[ 2012-12-14T16:44:35+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.023064s ]
[ 2012-12-14T16:44:35+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000882s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001772s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001849s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.032501s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032603s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001890s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001698s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000913s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001186s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005929s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001779s ]
[ 2012-12-14T16:44:35+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001882s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001118s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000606s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run CheckLang Behavior [ RunTime:0.001712s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002460s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | NOTIC: [8] Undefined index:  ok LoginAction.class.php 第 7 行.
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001897s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001973s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020634s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020736s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001061s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001261s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000962s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001267s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004758s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_end ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001229s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001306s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002083s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002265s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001559s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.004632s ]
[ 2012-12-14T16:44:43+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006530s ]
